Product,Category,Platform,Price (INR),Return Reason,Month
Men's Formal Shirt,Fashion,Myntra,899,"The shirt was too tight around the shoulders even though I ordered my usual size",Aug
Women's Kurta Set,Fashion,Meesho,549,"Fabric felt very thin and cheap, nothing like the photo",Sep
Women's Saree,Fashion,Ajio,1899,"Color was a dull mustard instead of the bright yellow shown online",Oct
Men's Jeans,Fashion,Flipkart,1299,"Length was too short, ordered 32 but it fit like a 30",Jul
Kids Party Dress,Fashion,Meesho,399,"No size chart on the listing, size M fit like a size S",Nov
Women's Top,Fashion,Myntra,699,"Stitching came undone within two days of wearing it",Jun
Men's Jacket,Fashion,Amazon,2499,"Zipper broke the very first time I used it",Dec
Women's Leggings,Fashion,Meesho,299,"Received a completely different print than what I ordered",Oct
Men's T-Shirt Pack of 3,Fashion,Flipkart,799,"Only 2 shirts arrived in the pack instead of 3",Sep
Women's Ethnic Gown,Fashion,Ajio,3499,"Box arrived crushed and the gown had a tear near the hem",Nov
Men's Kurta,Fashion,Meesho,649,"Ordered navy blue, received black instead",Aug
Women's Dupatta Set,Fashion,Myntra,899,"Didn't like it once I saw it in person, want to return",Jul
Men's Sweatshirt,Fashion,Ajio,1199,"Runs a full size smaller than the brand's usual fit",Jan
Women's Palazzo Pants,Fashion,Meesho,349,"Waist was way too big, no size chart provided",Oct
Men's Track Pants,Fashion,Flipkart,599,"Found the exact same product cheaper on another app right after ordering",Jun
Women's Blouse,Fashion,Myntra,549,"Runs two sizes smaller than usual for this brand",Sep
Men's Blazer,Fashion,Ajio,2999,"Shoulder padding looked lopsided, nothing like the model photo",Nov
Women's Nightwear Set,Fashion,Meesho,399,"Missing the shorts that were shown in the set photo",Dec
Men's Sports Shoes,Footwear,Flipkart,1999,"One shoe fit fine, the other was noticeably tighter",Aug
Women's Heels,Footwear,Myntra,1299,"Heel snapped clean off after wearing them once",Oct
Men's Sandals,Footwear,Meesho,399,"Size 9 fit like a size 7",Jul
Women's Flats,Footwear,Ajio,899,"Box arrived soaking wet, shoes had watermarks",Nov
Men's Formal Shoes,Footwear,Amazon,2299,"Received a completely different shoe brand than what was pictured",Sep
Women's Sneakers,Footwear,Flipkart,1599,"Looked white in photos, arrived an obvious off-white/cream",Jun
Wireless Earbuds,Electronics,Amazon,1799,"Right earbud stopped connecting after four days",Dec
Smartwatch,Electronics,Flipkart,3499,"Screen had a visible scratch straight out of the box",Oct
Bluetooth Speaker,Electronics,Amazon,1299,"Charging cable was missing from the box",Aug
Phone Case,Electronics,Meesho,199,"Camera cutout didn't align at all, wrong model sent",Sep
Power Bank,Electronics,Flipkart,899,"Box was dented and the casing underneath was cracked",Nov
Home Security Camera,Electronics,Amazon,2799,"App kept disconnecting, decided it wasn't worth the hassle",Jul
Foundation,Beauty,Amazon,649,"Shade was two tones darker than shown on the model",Aug
Hair Straightener,Beauty,Flipkart,1499,"Stopped heating properly within a week",Oct
Perfume Gift Set,Beauty,Meesho,599,"Bottle arrived leaking, whole box was damp",Nov
Skincare Combo,Beauty,Myntra,1099,"One of the three products in the combo was missing",Sep
Lipstick Set,Beauty,Ajio,399,"Changed my mind about the shades once they arrived",Jun
Bedsheet Set,Home,Flipkart,899,"Thread count felt nowhere close to what was advertised",Jul
Non-stick Cookware Set,Home,Amazon,2199,"Coating started peeling after the second use",Dec
Curtains Pair,Home,Meesho,549,"Received a single curtain instead of the pair shown",Oct
Table Lamp,Home,Flipkart,1399,"Glass shade arrived shattered inside the box",Nov
Wall Clock,Home,Ajio,799,"Wrong design delivered, ordered floral got plain black",Aug
